$s$,$Delta_(R^2)$,$R^2_#fkdc$,$alpha_#fkdc$,$h_#fkdc$,$h_#kdc$,*A*
4286,0.236,0.953,1.25,0.006,0.208,"${3, 3.5, 4}$"
1188,0.227,0.969,2.5,0.001,0.208,${3}$
1182,0.111,0.988,1.0,0.01,0.143,${3.5}$
7974,0.108,0.988,2.0,0.003,0.173,${2}$
5640,0.103,0.948,1.25,0.006,0.173,"${3.5, 4}$"
6610,0.098,1.0,1.0,0.01,0.173,${1.75}$
2411,0.095,0.993,1.0,0.01,0.173,${3}$
8527,0.091,0.98,1.25,0.006,0.173,"${3.25, 3.75}$"
7060,0.084,0.98,1.25,0.006,0.173,${2.5}$
7074,0.083,0.968,1.75,0.003,0.173,"${3, 3.5, 4}$"
8591,0.031,0.997,1.0,0.01,0.143,"${3, 3.5}$"
1434,0.029,0.988,2.0,0.003,0.143,${2}$
7354,0.028,0.964,1.0,0.1,0.143,${2}$
7837,0.028,0.985,1.0,0.1,0.143,${1}$
8443,0.027,0.997,1.0,0.1,0.143,${3}$
8988,0.021,0.965,1.0,0.1,0.143,${1}$
2694,0.012,0.971,1.0,0.1,0.143,${1}$
3046,0.007,0.993,1.0,0.1,0.119,${1}$
1338,0.003,0.965,1.75,0.003,0.143,${2}$
2048,-0.0,0.92,1.0,0.1,0.143,${1}$
1075,-0.011,0.858,1.5,0.006,0.173,${3.75}$
9975,-0.014,0.848,2.5,0.002,0.173,"${2.5, 3, 3.5, 4}$"
1193,-0.03,0.931,1.0,0.01,0.143,"${3.25, 4}$"
8096,-0.098,0.853,1.25,0.006,0.143,${2}$
8578,-0.33,0.61,1.25,0.01,0.143,"${2.25, 3}$"
