clf,,fkdc,fkdc,fkdc,kdc,kdc,max_score_alpha_test
,delta_r2,alpha,bandwidth,r2,bandwidth,r2,
semilla,,,,,,,
1434,0.109,1.0,0.562,0.281,0.774,0.171,[1.25]
8443,0.102,1.0,0.562,0.268,0.774,0.166,[1.25]
8578,0.101,1.0,0.562,0.246,0.774,0.144,[1.25]
7974,0.075,1.0,0.316,0.398,0.532,0.323,[1.75]
2048,0.054,1.0,0.562,0.355,0.642,0.301,[1.25]
6610,0.053,1.0,0.562,0.307,0.642,0.254,[1.5]
7354,0.05,1.0,0.562,0.321,0.642,0.271,[1.75]
3046,0.049,1.0,0.562,0.306,0.642,0.257,[1.5]
1188,0.047,1.0,0.562,0.316,0.642,0.269,[1.5]
1193,0.046,1.0,0.562,0.282,0.642,0.236,[1.25]
8527,0.04,1.0,0.562,0.283,0.642,0.242,[1.5]
8591,0.04,1.0,0.562,0.268,0.642,0.228,[1.5]
2411,0.04,1.0,0.562,0.264,0.642,0.224,[1.25]
8096,0.038,1.0,0.562,0.29,0.642,0.252,[1.25]
4286,0.035,1.0,0.562,0.285,0.642,0.25,[1.5]
7060,0.017,1.25,0.562,0.384,0.532,0.367,[1.75]
7074,0.016,1.25,0.562,0.289,0.532,0.272,[1.5]
9975,-0.011,1.0,0.562,0.23,0.532,0.241,[1.5]
2694,-0.013,1.0,0.562,0.243,0.532,0.256,[1.5]
7837,-0.013,1.0,0.562,0.27,0.532,0.283,[1.]
8988,-0.015,1.0,0.562,0.296,0.532,0.311,[1.75]
1338,-0.016,1.0,0.562,0.243,0.532,0.26,[1.5]
5640,-0.017,1.0,0.562,0.281,0.532,0.298,[1.5]
1182,-0.019,1.0,0.562,0.323,0.532,0.342,[1.75]
1075,-0.031,1.25,0.562,0.322,0.441,0.354,[1.5]
