clf,,fkn,fkn,fkn,kn,kn,max_score_alpha_test
,delta_r2,alpha,n_neighbors,r2,n_neighbors,r2,
semilla,,,,,,,
7354,0.102,1.0,8.0,0.379,16.0,0.277,[2.25]
2411,0.098,1.25,16.0,0.299,22.0,0.201,[2.75]
7074,0.096,1.5,16.0,0.322,16.0,0.226,[1.75]
7060,0.086,1.5,12.0,0.436,12.0,0.35,[1.75]
3046,0.077,1.25,12.0,0.348,16.0,0.271,[2.25]
8096,0.067,1.25,12.0,0.332,16.0,0.266,[2.5]
8443,0.063,1.25,22.0,0.275,22.0,0.212,[2.5]
1434,0.061,1.25,22.0,0.268,22.0,0.207,[3.]
1075,0.059,1.5,16.0,0.354,12.0,0.295,[1.75]
1193,0.056,1.25,16.0,0.304,16.0,0.248,[2.]
7837,0.053,1.25,16.0,0.298,16.0,0.245,[1.75]
9975,0.046,1.25,16.0,0.249,16.0,0.203,[2.5]
8591,0.044,1.0,16.0,0.247,22.0,0.203,[1.75]
2048,0.041,1.0,12.0,0.351,16.0,0.31,[2.25]
2694,0.037,1.5,22.0,0.298,12.0,0.261,[3.]
1188,0.035,1.0,12.0,0.323,16.0,0.288,[2.]
8527,0.032,1.0,12.0,0.271,16.0,0.239,[1.75]
4286,0.029,1.0,12.0,0.288,16.0,0.26,[2.]
8578,0.025,1.0,12.0,0.233,16.0,0.208,[1.75]
1182,0.0,1.0,8.0,0.389,8.0,0.389,[1.5]
7974,0.0,1.0,8.0,0.354,8.0,0.354,[1.75]
6610,0.0,1.0,12.0,0.294,12.0,0.294,[1.5]
8988,-0.0,1.0,8.0,0.37,8.0,0.37,[2.25]
1338,-0.073,1.0,8.0,0.161,12.0,0.234,[2.75]
5640,-0.092,1.25,8.0,0.107,8.0,0.199,[2.5]
